# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  10)   0.789 us    |                }
  10)               |                inode_permission() {
  10)               |                  __inode_permission() {
  10)   0.032 us    |                    generic_permission();
  10)               |                    security_inode_permission() {
  10)   0.029 us    |                      cap_inode_permission();
  10)   0.294 us    |                    }
  10)   0.845 us    |                  }
  10)   1.106 us    |                }
  10)               |                lookup_fast() {
  10)   0.101 us    |                  __d_lookup_rcu();
  10)   0.382 us    |                }
  10)               |                inode_permission() {
  10)               |                  __inode_permission() {
  10)               |                    generic_permission() {
  10)   0.026 us    |                      get_cached_acl_rcu();
  10)               |                      in_group_p() {
  10)   0.070 us    |                        groups_search();
  10)   0.340 us    |                      }
  10)   0.935 us    |                    }
  10)               |                    security_inode_permission() {
  10)   0.028 us    |                      cap_inode_permission();
  10)   0.297 us    |                    }
  10)   1.698 us    |                  }
  10)   1.946 us    |                }
  10)               |                lookup_fast() {
  10)   0.239 us    |                  __d_lookup_rcu();
  10)   0.209 us    |                  __lookup_mnt();
  10)   0.954 us    |                }
  10)               |                inode_permission() {
  10)               |                  __inode_permission() {
  10)               |                    nfs_permission [nfs]() {
  10)               |                      rpc_lookup_cred_nonblock [sunrpc]() {
  10)               |                        rpcauth_lookupcred [sunrpc]() {
  10)               |                          generic_lookup_cred [sunrpc]() {
  10)               |                            rpcauth_lookup_credcache [sunrpc]() {
  10)               |                              from_kuid() {
  10)   0.060 us    |                                map_id_up();
  10)   0.337 us    |                              }
  10)   0.120 us    |                              generic_match [sunrpc]();
  10)   1.199 us    |                            }
  10)   1.488 us    |                          }
  10)   1.864 us    |                        }
  10)   2.156 us    |                      }
  10)               |                      nfs_do_access [nfs]() {
  10)   0.033 us    |                        nfs3_have_delegation [nfsv3]();
  10)   0.492 us    |                      }
  10)   3.371 us    |                    }
  10)               |                    security_inode_permission() {
  10)   0.027 us    |                      cap_inode_permission();
  10)   0.874 us    |                    }
  10)   5.071 us    |                  }
  10)   5.402 us    |                }
  10)               |                lookup_fast() {
  10)   0.087 us    |                  __d_lookup_rcu();
  10)               |                  nfs_lookup_revalidate [nfs]() {
  10)   0.094 us    |                    is_bad_inode();
  10)   0.031 us    |                    nfs3_have_delegation [nfsv3]();
  10)               |                    nfs_check_verifier [nfs]() {
  10)               |                      nfs_revalidate_inode_rcu [nfs]() {
  10)               |                        nfs_attribute_cache_expired [nfs]() {
  10)   0.027 us    |                          nfs3_have_delegation [nfsv3]();
  10)   0.330 us    |                        }
  10)   0.621 us    |                      }
  10)   0.956 us    |                    }
  10)   2.153 us    |                  }
  10)   2.820 us    |                }
  10)               |                inode_permission() {
  10)               |                  __inode_permission() {
  10)               |                    nfs_permission [nfs]() {
  10)               |                      rpc_lookup_cred_nonblock [sunrpc]() {
  10)               |                        rpcauth_lookupcred [sunrpc]() {
  10)               |                          generic_lookup_cred [sunrpc]() {
  10)               |                            rpcauth_lookup_credcache [sunrpc]() {
  10)               |                              from_kuid() {
  10)   0.028 us    |                                map_id_up();
  10)   0.277 us    |                              }
  10)   0.035 us    |                              generic_match [sunrpc]();
  10)   0.803 us    |                            }
  10)   1.074 us    |                          }
  10)   1.342 us    |                        }
  10)   1.584 us    |                      }
  10)               |                      nfs_do_access [nfs]() {
  10)   0.029 us    |                        nfs3_have_delegation [nfsv3]();
  10)   0.448 us    |                      }
  10)   2.528 us    |                    }
  10)               |                    security_inode_permission() {
  10)   0.026 us    |                      cap_inode_permission();
  10)   0.276 us    |                    }
  10)   3.292 us    |                  }
  10)   3.536 us    |                }
  10)               |                lookup_fast() {
  10)   0.205 us    |                  __d_lookup_rcu();
  10)               |                  nfs_lookup_revalidate [nfs]() {
  10)   0.038 us    |                    is_bad_inode();
  10)   0.030 us    |                    nfs3_have_delegation [nfsv3]();
  10)               |                    nfs_check_verifier [nfs]() {
  10)               |                      nfs_revalidate_inode_rcu [nfs]() {
  10)               |                        nfs_attribute_cache_expired [nfs]() {
  10)   0.029 us    |                          nfs3_have_delegation [nfsv3]();
  10)   0.291 us    |                        }
  10)   0.586 us    |                      }
  10)   0.866 us    |                    }
  10)   1.663 us    |                  }
  10)   2.355 us    |                }
  10)               |                inode_permission() {
  10)               |                  __inode_permission() {
  10)               |                    nfs_permission [nfs]() {
  10)               |                      rpc_lookup_cred_nonblock [sunrpc]() {
  10)               |                        rpcauth_lookupcred [sunrpc]() {
  10)               |                          generic_lookup_cred [sunrpc]() {
  10)               |                            rpcauth_lookup_credcache [sunrpc]() {
  10)               |                              from_kuid() {
  10)   0.030 us    |                                map_id_up();
  10)   0.281 us    |                              }
  10)   0.030 us    |                              generic_match [sunrpc]();
  10)   0.800 us    |                            }
  10)   1.069 us    |                          }
  10)   1.335 us    |                        }
  10)   1.578 us    |                      }
  10)               |                      nfs_do_access [nfs]() {
  10)   0.031 us    |                        nfs3_have_delegation [nfsv3]();
  10)   0.308 us    |                      }
  10)   2.387 us    |                    }
  10)               |                    security_inode_permission() {
  10)   0.030 us    |                      cap_inode_permission();
  10)   0.294 us    |                    }
  10)   3.174 us    |                  }
  10)   3.415 us    |                }
  10) + 26.704 us   |              }
  10) + 27.017 us   |            }
  10)               |            do_last() {
  10)               |              lookup_fast() {
  10)   0.276 us    |                __d_lookup_rcu();
  10)               |                nfs_lookup_revalidate [nfs]() {
  10)   0.116 us    |                  is_bad_inode();
  10)   0.026 us    |                  nfs3_have_delegation [nfsv3]();
  10)               |                  nfs_check_verifier [nfs]() {
  10)               |                    nfs_revalidate_inode_rcu [nfs]() {
  10)               |                      nfs_attribute_cache_expired [nfs]() {
  10)   0.033 us    |                        nfs3_have_delegation [nfsv3]();
  10)   0.309 us    |                      }
