# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  15)   0.064 us    |        _raw_spin_lock_bh();
  15)   0.029 us    |        _raw_spin_unlock();
  15)   0.030 us    |        __local_bh_enable_ip();
  15)   1.142 us    |      }
  15)   0.060 us    |      _raw_write_lock_bh();
  15)               |      security_sock_graft() {
  15)   0.083 us    |        apparmor_sock_graft();
  15)   0.442 us    |      }
  15)               |      _raw_write_unlock_bh() {
  15)   0.032 us    |        __local_bh_enable_ip();
  15)   0.283 us    |      }
  15)               |      release_sock() {
  15)   0.032 us    |        _raw_spin_lock_bh();
  15)   0.063 us    |        tcp_release_cb();
  15)               |        _raw_spin_unlock_bh() {
  15)   0.029 us    |          __local_bh_enable_ip();
  15)   0.280 us    |        }
  15)   1.090 us    |      }
  15) $ 1725437 us |    } /* inet_accept */
  15)   0.042 us    |    inet_getname();
  15)   0.372 us    |    move_addr_to_user();
  15)               |    fd_install() {
  15)               |      __fd_install() {
  15)   0.060 us    |        _raw_spin_lock();
  15)               |        printk() {
  15)               |          vprintk_default() {
  15)               |            vprintk_emit() {
  15)   0.082 us    |              _raw_spin_lock();
  15)               |              log_store() {
  15)   0.180 us    |                log_make_free_space();
  15)   0.566 us    |              }
  15)   0.026 us    |              _raw_spin_unlock();
  15)               |              console_trylock() {
  15)               |                down_trylock() {
  15)   0.067 us    |                  _raw_spin_lock_irqsave();
  15)   0.042 us    |                  _raw_spin_unlock_irqrestore();
  15)   0.594 us    |                }
  15)   0.903 us    |              }
  15)               |              console_unlock() {
  15)   0.385 us    |                _raw_spin_lock_irqsave();
  15)   0.037 us    |                _raw_spin_unlock_irqrestore();
  15)   0.533 us    |                _raw_spin_lock_irqsave();
  15)               |                msg_print_text() {
  15)               |                  print_prefix() {
  15)   0.359 us    |                    print_time.part.11();
  15)   0.675 us    |                  }
  15)               |                  print_prefix() {
  15)   0.453 us    |                    print_time.part.11();
  15)   0.819 us    |                  }
  15)   2.585 us    |                }
  15)   0.032 us    |                _raw_spin_unlock();
  15)   0.038 us    |                call_console_drivers.constprop.25();
  15)   0.046 us    |                _raw_spin_lock_irqsave();
  15)               |                msg_print_text() {
  15)               |                  print_prefix() {
  15)   0.224 us    |                    print_time.part.11();
  15)   0.477 us    |                  }
  15)               |                  print_prefix() {
  15)   0.271 us    |                    print_time.part.11();
  15)   0.532 us    |                  }
  15)   1.790 us    |                }
  15)   0.028 us    |                _raw_spin_unlock();
  15)   0.032 us    |                call_console_drivers.constprop.25();
  15)   0.693 us    |                _raw_spin_lock_irqsave();
  15)               |                msg_print_text() {
  15)               |                  print_prefix() {
  15)   0.117 us    |                    print_time.part.11();
  15)   0.369 us    |                  }
  15)               |                  print_prefix() {
  15)   0.222 us    |                    print_time.part.11();
  15)   0.476 us    |                  }
  15)   1.461 us    |                }
  15)   0.028 us    |                _raw_spin_unlock();
  15)   0.032 us    |                call_console_drivers.constprop.25();
  15)   0.424 us    |                _raw_spin_lock_irqsave();
  15)               |                msg_print_text() {
  15)               |                  print_prefix() {
  15)   0.106 us    |                    print_time.part.11();
  15)   0.361 us    |                  }
  15)               |                  print_prefix() {
  15)   0.211 us    |                    print_time.part.11();
  15)   0.464 us    |                  }
  15)   1.427 us    |                }
  15)   0.027 us    |                _raw_spin_unlock();
  15)   0.029 us    |                call_console_drivers.constprop.25();
  15)   0.378 us    |                _raw_spin_lock_irqsave();
  15)               |                msg_print_text() {
  15)               |                  print_prefix() {
  15)   0.105 us    |                    print_time.part.11();
  15)   0.360 us    |                  }
  15)               |                  print_prefix() {
  15)   0.204 us    |                    print_time.part.11();
  15)   0.462 us    |                  }
  15)   1.422 us    |                }
  15)   0.031 us    |                _raw_spin_unlock();
  15)   0.028 us    |                call_console_drivers.constprop.25();
  15)   0.399 us    |                _raw_spin_lock_irqsave();
  15)               |                msg_print_text() {
  15)               |                  print_prefix() {
  15)   0.105 us    |                    print_time.part.11();
  15)   0.356 us    |                  }
  15)               |                  print_prefix() {
  15)   0.208 us    |                    print_time.part.11();
  15)   0.462 us    |                  }
  15)   1.420 us    |                }
  15)   0.029 us    |                _raw_spin_unlock();
  15)   0.032 us    |                call_console_drivers.constprop.25();
  15)   0.049 us    |                _raw_spin_lock_irqsave();
  15)               |                msg_print_text() {
  15)               |                  print_prefix() {
  15)   0.108 us    |                    print_time.part.11();
  15)   0.361 us    |                  }
  15)               |                  print_prefix() {
  15)   0.210 us    |                    print_time.part.11();
  15)   0.461 us    |                  }
  15)   1.432 us    |                }
  15)   0.028 us    |                _raw_spin_unlock();
  15)   0.031 us    |                call_console_drivers.constprop.25();
  15)   0.046 us    |                _raw_spin_lock_irqsave();
  15)               |                msg_print_text() {
  15)               |                  print_prefix() {
  15)   0.107 us    |                    print_time.part.11();
  15)   0.365 us    |                  }
  15)               |                  print_prefix() {
  15)   0.207 us    |                    print_time.part.11();
  15)   0.609 us    |                  }
  15)   1.732 us    |                }
  15)   0.031 us    |                _raw_spin_unlock();
  15)   0.028 us    |                call_console_drivers.constprop.25();
  15)   0.045 us    |                _raw_spin_lock_irqsave();
  15)   0.027 us    |                _raw_spin_unlock();
  15)               |                up() {
  15)   0.066 us    |                  _raw_spin_lock_irqsave();
  15)   0.037 us    |                  _raw_spin_unlock_irqrestore();
  15)   0.599 us    |                }
  15)   0.028 us    |                _raw_spin_lock();
  15)   0.040 us    |                _raw_spin_unlock_irqrestore();
  15)   0.058 us    |                wake_up_klogd();
  15) + 28.421 us   |              }
  15) + 33.327 us   |            }
  15) + 33.606 us   |          }
  15) + 33.907 us   |        }
  15)               |        printk() {
  15)               |          vprintk_default() {
  15)               |            vprintk_emit() {
  15)   0.032 us    |              _raw_spin_lock();
  15)               |              log_store() {
  15)   0.035 us    |                log_make_free_space();
  15)   0.350 us    |              }
  15)   0.033 us    |              _raw_spin_unlock();
  15)               |              console_trylock() {
  15)               |                down_trylock() {
  15)   0.033 us    |                  _raw_spin_lock_irqsave();
  15)   0.040 us    |                  _raw_spin_unlock_irqrestore();
  15)   0.549 us    |                }
  15)   0.799 us    |              }
  15)               |              console_unlock() {
  15)   0.034 us    |                _raw_spin_lock_irqsave();
  15)   0.040 us    |                _raw_spin_unlock_irqrestore();
  15)   0.029 us    |                _raw_spin_lock_irqsave();
  15)               |                msg_print_text() {
  15)               |                  print_prefix() {
  15)   0.136 us    |                    print_time.part.11();
  15)   0.389 us    |                  }
  15)               |                  print_prefix() {
  15)   0.203 us    |                    print_time.part.11();
  15)   0.466 us    |                  }
  15)   1.427 us    |                }
  15)   0.031 us    |                _raw_spin_unlock();
  15)   0.031 us    |                call_console_drivers.constprop.25();
  15)   0.048 us    |                _raw_spin_lock_irqsave();
  15)   0.028 us    |                _raw_spin_unlock();
  15)               |                up() {
  15)   0.032 us    |                  _raw_spin_lock_irqsave();
  15)   0.037 us    |                  _raw_spin_unlock_irqrestore();
  15)   0.547 us    |                }
  15)   0.028 us    |                _raw_spin_lock();
  15)   0.039 us    |                _raw_spin_unlock_irqrestore();
  15)   0.065 us    |                wake_up_klogd();
  15)   5.136 us    |              }
  15)   8.360 us    |            }
  15)   8.604 us    |          }
  15)   8.855 us    |        }
  15)   0.031 us    |        _raw_spin_unlock();
  15) + 44.979 us   |      }
  15) + 45.260 us   |    }
  15) $ 1725502 us |  } /* SyS_accept */
